trait	leafmid_BLUP	fenzhi_BLUP
25D330	17.68	4.07
25D331	18.21	6.74
25D332	18.21	6.29
25D333	18.03	5.4
25D334	18.38	3.18
25D335	18.05	5.72
25D336	18.38	6.52
25D337	18.03	4.51
25D338	19.26	6.74
25D339	19.09	12.52
25D340	18.21	11.18
25D341	16.45	14.3
25D342	17.86	6.29
25D343	18.21	4.51
25D344	18.73	7.18
25D345	17.86	11.18
25D346	17.51	8.52
25D347	18.38	5.85
25D348	18.38	6.29
25D349	20.49	33.41
25D350	17.33	7.63
25D351	17.86	11.18
25D352	17.68	7.63
25D353	18.21	6.74
25D354	18.03	9.85
25D355	17.62	10.53
25D356	18.26	14.53
25D357	18.03	6.29
25D358	17.86	13.41
25D359	17.33	8.96
25D360	17.15	14.74
25D361	17.83	4.92
25D362	18.05	8.93
25D363	17.86	6.74
25D364	18.21	2.74
25D365	17.33	9.85
25D366	18.03	1.85
25D367	17.68	6.74
25D368	18.38	6.29
25D369	18.26	10.53
25D370	18.38	8.52
25D371	16.98	9.85
25D372	18.05	11.33
25D373	18.21	11.63
25D374	18.91	7.18
25D375	18.21	11.63
25D376	18.38	13.41
25D377	17.62	8.12
25D378	17.51	9.4
25D379	17.86	10.74
25D380	19.26	21.41
25D381	18.38	8.96
25D382	17.68	9.85
25D383	17.41	6.52
25D384	16.28	10.29
25D385	14.87	4.96
25D386	16.63	11.63
25D387	17.51	11.63
25D388	16.45	8.07
25D389	16.1	12.52
25D390	17.41	5.72
25D391	16.28	2.74
25D392	15.75	7.18
25D393	16.45	10.74
25D394	17.15	6.74
25D395	16.98	5.4
25D396	16.1	5.4
25D397	17.15	5.85
25D398	16.63	8.07
25D399	17.68	8.96
25D400	17.86	11.63
25D401	18.03	10.74
25D402	17.33	12.52
25D403	17.83	9.73
25D404	16.98	4.96
25D405	17.15	12.07
25D406	18.21	8.07
25D407	17.51	12.52
25D408	16.56	4.92
25D409	18.38	12.52
25D410	16.28	8.52
25D411	17.15	10.74
25D412	16.45	7.63
25D413	16.98	4.07
25D414	15.75	8.96
25D415	17.68	6.29
25D416	18.21	10.74
25D417	16.1	4.96
25D418	16.28	6.29
25D419	17.51	12.07
25D420	17.68	14.74
25D421	16.98	5.4
25D422	16.63	3.62
25D423	17.51	8.96
25D424	NA	NA
25D425	18.69	9.73
25D426	18.91	9.85
25D427	17.33	8.96
25D428	17.68	13.41
25D429	18.38	7.63
25D430	18.03	8.96
25D431	17.68	8.07
25D432	17.86	7.18
25D433	17.86	8.07
25D434	19.26	11.63
25D435	18.38	13.41
25D436	18.05	6.52
25D437	17.83	8.12
25D438	17.86	11.18
25D439	18.9	17.73
25D440	18.38	10.74
25D441	18.38	11.63
25D442	18.21	3.18
25D443	18.56	10.74
25D444	17.62	13.73
25D445	17.51	8.96
25D446	17.86	8.07
25D447	18.38	15.18
25D448	18.21	7.18
25D449	18.21	10.74
25D450	19.09	16.96
25D451	19.09	6.74
25D452	18.91	6.29
25D453	18.21	7.18
25D454	18.56	22.3
25D455	17.86	4.07
25D456	18.38	8.96
25D457	17.68	9.85
25D458	18.91	8.07
25D459	18.38	5.4
25D460	17.68	7.18
25D461	18.05	14.53
25D462	18.26	4.07
25D463	18.69	NA
25D464	NA	NA
25D465	NA	NA
25D466	NA	NA
25D467	NA	NA
25D468	17.15	3.62
25D469	18.73	9.85
25D470	17.68	5.4
25D471	17.86	10.74
25D472	16.45	11.63
25D473	16.63	11.63
25D474	15.57	7.18
25D475	14.87	4.07
25D476	16.8	4.51
25D477	18.38	15.18
25D478	17.33	7.18
25D479	17.86	9.85
25D480	16.8	5.85
25D481	18.21	6.29
25D482	18.26	16.13
25D483	18.73	14.3
25D484	18.03	4.96
25D485	18.03	13.41
25D486	18.03	11.63
25D487	18.73	11.63
25D488	18.38	6.29
25D489	18.21	8.07
25D490	18.03	3.62
25D491	18.56	8.96
25D492	17.86	4.96
25D493	17.33	7.18
25D494	16.1	8.96
25D495	16.98	10.74
25D496	17.86	15.18
25D497	18.38	8.07
25D498	18.38	4.07
25D499	17.68	7.18
25D500	17.51	7.18
25D501	17.86	8.96
25D502	19.09	12.52
25D503	17.68	8.07
25D504	17.51	13.41
25D505	18.03	13.41
25D506	17.86	5.4
25D507	17.15	7.18
25D508	18.21	4.51
25D509	17.33	9.85
25D510	18.21	1.85
25D511	18.03	6.29
25D512	18.21	9.85
25D513	16.8	7.18
25D514	18.91	8.07
25D515	16.98	11.63
25D516	17.2	8.93
25D517	16.45	4.51
25D518	18.21	8.07
25D519	17.2	9.73
25D520	17.86	10.74
25D521	17.68	6.29
25D522	16.98	4.51
25D523	16.98	10.74
25D524	16.8	9.85
25D525	17.86	7.18
25D526	16.77	10.53
25D527	18.05	12.13
25D528	18.73	8.07
25D529	19.26	11.63
25D530	16.1	9.85
25D531	17.68	9.4
25D532	17.2	10.53
25D533	17.33	8.07
25D534	18.03	8.96
25D535	19.09	12.52
25D536	18.73	17.85
25D537	18.56	8.52
25D538	18.91	12.52
25D539	19.09	12.52
25D540	19.09	10.74
25D541	19.09	10.74
25D542	18.73	13.41
25D543	18.73	21.41
25D544	18.21	15.18
25D545	18.38	10.74
25D546	17.83	12.13
25D547	16.45	5.85
25D548	16.63	10.74
25D549	17.62	7.32
25D550	17.51	5.85
25D551	17.51	3.18
25D552	17.51	6.29
25D553	18.38	6.29
25D554	18.56	4.51
25D555	18.56	10.74
25D556	17.68	4.07
25D557	19.26	11.63
25D558	17.41	14.53
25D559	19.09	10.74
25D560	17.33	4.51
25D561	15.4	5.72
25D562	17.68	12.52
25D563	17.83	18.53
25D564	17.68	6.74
25D565	18.56	8.96
25D566	18.47	5.72
25D567	18.21	17.85
25D568	18.05	12.13
25D569	18.73	8.07
25D570	17.62	8.12
25D571	18.21	10.74
25D572	17.86	9.85
25D573	19.26	13.41
25D574	18.21	15.18
25D575	18.38	20.52
25D576	17.86	9.4
25D577	16.63	6.29
25D578	16.45	8.07
25D579	18.56	8.52
25D580	18.73	9.4
25D581	18.21	10.29
25D582	17.86	5.85
25D583	18.03	6.74
25D584	18.56	15.63
25D585	18.38	7.63
25D586	17.68	7.63
25D587	18.56	12.07
25D588	18.38	7.63
25D589	18.03	5.85
25D590	16.45	8.96
25D591	17.51	6.29
25D592	18.03	7.63
25D593	17.86	5.4
25D594	18.03	9.85
25D595	16.1	7.18
25D596	17.62	8.93
25D597	15.93	5.85
25D598	17.33	3.62
25D599	17.33	10.74
25D600	17.51	11.63
25D601	18.38	13.41
25D602	18.21	10.29
25D603	17.86	5.4
25D604	17.33	8.52
25D605	16.98	4.51
25D606	16.45	6.74
25D607	17.33	7.18
25D608	16.45	5.85
25D609	16.98	4.92
25D610	17.51	8.07
25D611	17.51	6.29
25D612	16.8	9.4
25D613	18.21	7.63
25D614	17.33	9.85
25D615	17.51	8.52
25D616	18.21	5.4
25D617	17.33	7.63
25D618	17.86	4.96
25D619	16.63	7.18
25D620	17.68	5.85
25D621	18.38	6.74
25D622	17.86	2.74
25D623	18.03	6.74
25D624	17.41	4.92
25D625	17.62	4.92
25D626	17.86	6.29
25D627	17.51	6.29
25D628	17.83	11.33
25D629	18.38	9.85
25D630	17.86	3.62
25D631	18.21	6.29
25D632	17.68	5.4
25D633	18.38	6.74
25D634	18.21	10.29
25D635	19.09	5.85
25D636	18.03	8.96
25D637	18.38	10.74
25D638	18.38	6.29
25D639	16.8	6.74
25D640	17.51	8.52
25D641	17.68	12.52
25D642	17.86	8.07
25D643	18.73	4.51
25D644	17.86	8.07
25D645	17.86	1.85
25D646	17.83	4.92
25D647	17.33	9.4
25D648	17.15	7.63
25D649	18.03	7.18
25D650	18.38	7.63
25D651	17.86	11.63
25D652	17.68	12.07
25D653	19.26	10.74
25D654	18.38	10.74
25D655	17.68	6.29
25D656	17.86	5.85
25D657	18.21	4.07
25D658	17.51	7.18
25D659	17.41	8.12
25D660	17.51	4.51
25D661	17.51	5.4
25D662	17.51	7.63
25D663	16.98	3.62
25D664	18.03	4.51
25D665	17.83	4.92
25D666	18.21	4.07
25D667	16.98	5.4
25D668	17.51	6.29
25D669	17.51	8.07
25D670	17.62	4.12
25D671	16.45	4.51
25D672	17.68	8.96
25D673	18.03	9.85
25D674	18.21	6.29
25D675	17.51	10.74
25D676	18.38	12.52
25D677	18.03	11.18
25D678	17.86	7.63
25D679	18.38	6.29
25D680	17.68	10.74
25D681	18.26	10.53
25D682	17.41	7.32
25D683	18.56	16.96
25D684	17.86	6.74
25D685	17.86	20.52
25D686	16.98	9.85
25D687	17.62	9.73
25D688	17.33	9.4
25D689	19.09	7.18
25D690	17.51	8.96
25D691	16.77	5.72
25D692	16.63	8.96
25D693	NA	NA
25D694	18.21	13.85
25D695	17.68	10.74
25D696	18.05	16.13
25D697	17.62	12.93
25D698	17.83	7.32
25D699	18.73	5.85
25D700	17.33	11.63
25D701	18.38	4.51
25D702	17.86	9.85
25D703	18.26	5.72
25D704	14.21	6.52
25D705	18.21	14.3
25D706	17.41	8.93
25D707	17.62	11.33
25D708	16.8	4.07
25D709	16.98	12.52
25D710	17.33	8.07
25D711	17.33	10.29
25D712	16.98	4.51
25D713	17.51	8.52
25D714	17.68	6.74
25D715	17.62	5.72
25D716	17.86	8.07
25D717	17.86	7.63
25D718	17.51	8.96
25D719	18.03	7.18
25D720	18.21	6.29
25D721	18.38	6.29
25D722	18.21	1.85
25D723	16.63	9.85
25D724	18.56	12.52
25D725	18.56	8.96
25D726	18.03	9.85
25D727	18.03	10.74
25D728	17.33	8.52
25D729	17.15	7.18
25D730	16.1	4.96
25D731	17.15	4.51
25D732	17.15	7.63
25D733	18.56	16.52
25D734	16.1	4.96
25D735	19.09	14.74
25D736	17.68	6.29
25D737	17.86	9.85
25D738	17.68	6.74
25D739	18.38	11.18
25D740	18.21	5.85
25D741	17.86	8.96
25D742	17.68	4.07
25D743	17.86	2.29
25D744	16.8	5.85
25D745	17.86	3.18
25D746	15.4	2.74
25D747	18.03	9.85
25D748	17.68	5.85
25D749	16.63	9.4
25D750	17.86	6.74
25D751	18.56	5.4
25D752	18.56	9.4
25D753	17.33	4.51
25D754	18.21	5.85
25D755	17.68	9.4
25D756	18.21	4.51
25D757	16.28	1.85
25D758	16.63	7.18
25D759	18.03	4.07
25D760	18.56	12.07
25D761	17.15	12.07
25D762	16.98	5.4
25D763	18.03	10.74
25D764	16.1	6.74
25D765	18.03	7.63
25D766	18.38	11.18
25D767	18.21	11.18
25D768	17.51	4.07
25D769	17.86	6.74
25D770	18.38	4.96
25D771	17.33	8.07
25D772	17.86	6.74
25D773	17.86	5.4
25D774	16.63	2.29
25D775	16.1	6.29
25D776	17.86	10.29
25D777	18.03	6.29
25D778	18.21	2.74
25D779	15.4	3.62
25D780	17.15	11.63
25D781	15.4	8.96
25D782	17.68	5.4
25D783	18.03	4.51
25D784	17.86	7.63
25D785	17.68	8.96
25D786	17.68	7.18
25D787	16.63	15.63
25D788	17.86	8.96
25D789	18.21	3.62
25D790	18.73	10.29
25D791	17.68	8.07
25D792	17.68	8.07
25D793	18.21	2.29
25D794	17.68	5.85
25D795	18.21	4.07
25D796	18.03	8.96
25D797	17.51	8.52
25D798	17.68	6.29
25D799	18.38	2.29
25D800	18.21	9.4
25D801	17.86	3.62
25D802	18.38	7.63
25D803	17.51	4.96
25D804	17.86	8.07
25D805	18.05	8.93
25D806	15.22	8.07
25D807	18.73	15.63
25D808	18.56	8.07
25D809	18.05	5.72
25D810	16.63	3.62
25D811	16.8	5.4
25D812	17.68	10.74
25D813	17.86	7.18
25D814	17.68	4.51
25D815	18.91	1.85
25D816	18.03	9.85
25D817	17.68	9.85
25D818	18.03	9.85
25D819	17.86	3.62
25D820	17.33	2.74
25D821	18.56	11.63
25D822	18.91	11.63
25D823	18.21	13.41
25D824	18.38	12.07
25D825	17.86	7.18
25D826	17.86	6.29
25D827	17.51	13.41
25D828	18.73	15.18
25D829	18.73	8.07
25D830	18.38	4.51
25D831	17.51	4.51
25D832	18.38	12.07
25D833	17.51	8.96
25D834	17.86	4.96
25D835	18.91	10.74
25D836	17.68	7.18
25D837	17.51	4.07
25D838	17.86	8.96
25D839	17.33	6.29
25D840	16.98	5.4
25D841	16.28	10.74
25D842	16.63	12.07
25D843	17.68	4.51
25D844	17.15	6.74
25D845	17.51	6.74
25D846	17.68	6.29
25D847	17.86	8.52
25D848	17.33	11.18
25D849	17.51	4.96
25D850	17.68	4.51
25D851	16.98	8.96
25D852	18.91	4.07
25D853	18.03	7.18
25D854	16.98	3.62
25D855	17.15	5.85
25D856	18.03	6.29
25D857	17.33	6.29
25D858	17.86	5.4
25D859	18.03	5.4
25D860	16.98	1.85
25D861	18.03	4.51
25D862	17.86	9.85
25D863	16.98	8.96
25D864	18.03	6.29
25D865	18.03	6.29
25D866	18.03	6.74
25D867	18.38	6.74
25D868	17.33	10.74
25D869	17.68	11.63
25D870	17.68	4.07
25D871	16.63	1.85
25D872	17.41	2.52
25D873	16.98	8.07
25D874	17.51	7.18
25D875	17.2	7.32
25D876	15.4	5.85
25D877	15.57	5.4
25D878	16.63	6.74
25D879	17.15	8.07
25D880	17.51	12.96
25D881	16.63	4.51
25D882	17.51	8.07
25D883	16.56	4.92
25D884	17.33	9.4
25D885	17.68	6.74
25D886	17.68	5.4
25D887	18.21	16.07
25D888	18.03	7.18
25D889	15.4	11.18
25D890	18.21	4.96
25D891	17.51	8.96
25D892	16.98	4.51
25D893	16.28	5.85
25D894	18.03	7.63
25D895	17.68	7.63
25D896	17.86	3.62
25D897	18.38	8.96
25D898	18.21	2.29
25D899	16.98	2.29
25D900	16.8	1.85
25D901	NA	NA
25D902	18.03	12.52
25D903	17.86	4.07
25D904	17.86	10.29
25D905	18.03	5.85
25D906	17.33	8.52
25D907	17.33	12.07
25D908	17.86	9.85
25D909	17.33	2.74
25D910	17.15	4.51
25D911	18.73	13.41
25D912	17.33	7.18
25D913	16.98	7.63
25D914	16.8	2.74
25D915	17.2	4.92
25D916	17.15	4.07
25D917	17.41	3.32
25D918	16.8	6.29
25D919	16.63	9.4
25D920	16.98	4.96
25D921	18.03	6.74
25D922	18.38	6.74
25D923	17.15	8.52
25D924	18.03	8.52
25D925	17.33	13.41
25D926	16.98	5.85
25D927	17.33	4.51
25D928	17.68	5.85
25D929	17.86	4.07
25D930	18.03	7.63
25D931	17.51	9.4
25D932	17.33	7.18
25D933	17.86	8.52
25D934	17.51	9.85
25D935	17.51	8.07
25D936	16.98	6.74
25D937	18.21	3.18
25D938	50.52	3.18
25D939	17.51	12.07
25D940	18.38	9.85
25D941	17.15	8.52
25D942	17.86	8.52
25D943	18.03	8.96
25D944	17.33	4.96
25D945	18.38	5.85
25D946	17.68	4.51
25D947	16.98	6.29
25D948	18.21	12.96
25D949	17.51	13.41
25D950	18.03	9.85
25D951	18.05	10.53
25D952	18.03	13.85
25D953	18.21	7.18
25D954	18.03	4.07
25D955	16.98	4.96
25D956	17.68	2.74
25D957	17.86	8.96
25D958	17.51	7.18
25D959	16.98	13.41
25D960	18.03	5.85
25D961	17.68	6.74
25D962	18.56	10.74
25D963	18.73	12.96
25D964	17.68	12.96
25D965	17.86	3.62
25D966	17.86	4.07
25D967	18.38	13.85
25D968	17.68	17.85
25D969	17.68	6.74
25D970	17.51	8.07
25D971	16.8	5.85
25D972	16.45	2.29
25D973	17.15	7.63
25D974	17.68	6.29
25D975	17.68	1.85
25D976	16.45	4.96
25D977	17.68	5.85
25D978	17.51	5.85
25D979	16.28	4.96
25D980	17.86	5.85
25D981	17.68	10.74
25D982	17.33	4.96
25D983	17.15	5.4
25D984	16.8	4.51
25D985	17.15	11.18
25D986	17.68	6.29
25D987	18.03	7.18
25D988	17.51	11.63
25D989	17.15	4.51
25D990	17.15	4.07
25D991	17.86	3.62
25D992	18.73	7.63
25D993	17.15	4.51
25D994	18.03	9.85
25D995	17.68	5.85
25D996	18.03	7.18
25D997	17.68	6.29
25D998	16.98	7.63
25D999	16.8	3.18
