trait	leafmid_BLUP	fenzhi_BLUP
25D114	18.91	4.96
25D1140	17.51	4.96
25D1141	17.33	5.85
25D1142	16.8	9.85
25D1143	17.86	6.74
25D1144	17.68	8.07
25D1145	NA	NA
25D1146	17.68	8.96
25D1147	17.68	6.74
25D1148	16.8	2.29
25D1149	15.93	4.51
25D115	18.03	6.74
25D1150	17.68	7.63
25D1151	17.33	4.07
25D1152	17.15	3.18
25D1153	18.03	7.18
25D1154	18.21	11.18
25D1155	18.38	4.07
25D1156	17.68	10.29
25D1157	17.15	4.51
25D1158	17.51	9.85
25D1159	17.33	8.07
25D116	17.33	6.29
25D1160	18.03	11.63
25D1161	18.38	11.63
25D1162	18.56	8.52
25D1163	17.86	4.96
25D1164	17.33	5.85
25D1165	17.86	8.96
25D1166	16.63	5.85
25D1167	17.68	4.07
25D1168	17.68	4.51
25D1169	16.8	5.4
25D117	18.38	4.07
25D1170	18.03	7.63
25D1171	18.73	11.18
25D1172	16.45	4.96
25D1173	17.86	3.62
25D1174	17.51	4.51
25D1175	17.51	8.52
25D1176	17.33	4.96
25D1177	16.8	3.62
25D1178	17.51	5.4
25D1179	18.03	7.63
25D118	17.68	7.18
25D1180	17.68	7.18
25D1181	16.8	1.85
25D1182	16.63	4.07
25D1183	17.51	4.07
25D1184	18.38	7.18
25D1185	17.68	5.85
25D1186	18.03	4.51
25D1187	18.21	8.96
25D1188	18.03	8.07
25D1189	17.86	4.96
25D119	16.8	9.85
25D1190	17.68	4.07
25D1191	17.86	6.74
25D1192	17.68	6.29
25D1193	16.98	8.96
25D1194	17.33	4.51
25D1195	16.8	6.29
25D1196	16.98	4.96
25D1197	17.51	10.29
25D1198	17.68	2.74
25D1199	18.03	6.74
25D120	17.51	4.96
25D1200	18.21	8.52
25D1201	18.38	7.18
25D1202	18.56	6.74
25D1203	18.21	4.96
25D1204	17.15	4.96
25D1205	17.33	6.29
25D1206	17.68	5.85
25D1207	18.03	6.74
25D1208	17.86	4.96
25D1209	17.51	5.4
25D121	17.33	7.63
25D1210	18.03	3.62
25D1211	18.38	1.85
25D1212	17.86	2.29
25D1213	17.33	5.4
25D1214	18.03	2.29
25D1215	17.33	4.07
25D1216	18.03	9.4
25D1217	18.56	7.18
25D1218	17.86	4.96
25D1219	18.03	4.96
25D122	18.03	7.18
25D1220	18.03	4.07
25D1221	17.51	3.62
25D1222	16.98	4.96
25D1223	16.8	5.85
25D1224	NA	NA
25D1225	18.03	8.96
25D1226	16.98	5.4
25D1227	18.03	4.96
25D1228	17.86	5.85
25D1229	18.21	8.07
25D123	18.03	13.85
25D1230	17.51	6.29
25D1231	17.68	3.62
25D1232	17.86	7.18
25D1233	18.03	11.63
25D1234	18.56	10.74
25D1235	17.86	4.07
25D1236	17.86	10.29
25D1237	17.68	9.85
25D1238	18.21	5.85
25D1239	16.8	3.62
25D124	16.8	6.29
25D1240	17.15	4.07
25D1241	18.03	6.29
25D1242	17.86	10.29
25D1243	17.51	4.51
25D1244	16.8	6.29
25D1245	17.86	4.51
25D1246	17.86	4.51
25D1247	18.56	8.52
25D1248	17.86	7.63
25D1249	17.68	5.4
25D125	18.56	5.85
25D1250	16.63	3.18
25D1251	18.73	6.74
25D1252	18.91	9.4
25D1253	17.33	8.52
25D1254	18.21	3.62
25D1255	17.86	6.29
25D1256	18.03	6.74
25D1257	16.98	7.63
25D1258	17.68	5.4
25D1259	18.38	7.63
25D126	18.38	12.52
25D1260	17.33	7.18
25D1261	16.98	4.96
25D1262	18.91	8.96
25D1263	18.03	12.96
25D1264	17.68	9.85
25D1265	17.86	13.85
25D1266	18.56	8.96
25D1267	17.68	4.07
25D1268	16.28	4.96
25D1269	16.28	7.18
25D127	NA	NA
25D1270	NA	NA
25D1271	NA	NA
25D1272	18.56	13.41
25D1273	NA	NA
25D1274	17.86	11.63
25D1275	NA	NA
25D1276	17.33	3.18
25D1277	NA	NA
25D1278	18.03	7.63
25D1279	18.38	5.85
25D128	17.51	8.07
25D1280	17.51	8.07
25D1281	18.03	6.74
25D1282	18.03	3.62
25D1283	17.33	4.07
25D1284	17.33	3.62
25D1285	17.68	5.4
25D1286	18.21	6.74
25D1287	17.68	1.85
25D1288	18.03	7.63
25D1289	17.33	5.4
25D129	18.03	8.96
25D1290	NA	NA
25D1291	NA	NA
25D1292	18.21	6.74
25D1293	NA	NA
25D1294	16.28	4.96
25D1295	16.63	3.18
25D1296	18.03	7.63
25D1297	NA	NA
25D1298	17.62	6.52
25D1299	17.51	8.52
25D130	18.56	10.29
25D1300	17.51	6.74
25D1301	17.51	7.63
25D1302	17.86	4.96
25D1303	17.68	5.4
25D1304	NA	NA
25D1305	18.56	9.4
25D1306	18.38	12.07
25D1307	17.33	7.63
25D1308	17.33	7.18
25D1309	17.51	4.51
25D131	18.91	10.29
25D1310	NA	NA
25D1311	17.68	10.74
25D1312	17.51	4.07
25D1313	17.33	5.85
25D1314	17.51	12.07
25D1315	17.51	5.85
25D1316	17.15	4.96
25D1317	17.33	6.74
25D1318	17.51	8.52
25D1319	17.15	12.52
25D132	18.03	10.74
25D1320	17.15	2.74
25D1321	18.03	15.63
25D1322	17.15	8.96
25D1323	17.15	13.41
25D1324	17.15	6.74
25D1325	17.86	5.4
25D1326	19.79	10.29
25D1327	17.51	8.96
25D1328	17.68	6.74
25D1329	17.33	5.4
25D133	18.73	13.41
25D1330	18.56	16.07
25D1331	17.62	14.53
25D1332	17.51	13.85
25D1333	17.15	8.52
25D1334	17.86	10.74
25D1335	NA	NA
25D1336	16.63	3.18
25D1337	17.68	8.96
25D1338	17.51	10.74
25D1339	17.62	5.72
25D134	17.86	6.29
25D1340	18.03	19.63
25D1341	17.41	6.52
25D1342	16.8	10.29
25D1343	17.15	9.4
25D1344	17.33	13.85
25D1345	17.15	10.29
25D1346	17.33	10.29
25D1347	17.33	11.63
25D1348	17.33	13.85
25D1349	17.51	9.85
25D135	17.86	10.74
25D1350	17.68	11.63
25D1351	17.33	15.18
25D1352	17.15	7.18
25D1353	17.15	8.52
25D1354	16.98	13.41
25D1355	17.86	15.18
25D1356	18.03	17.85
25D1357	17.15	7.18
25D1358	17.33	8.52
25D1359	17.33	7.18
25D136	17.68	4.07
25D1360	17.15	12.07
25D1361	17.86	17.41
25D1362	17.86	4.96
25D1363	16.98	11.63
25D1364	17.15	16.07
25D1365	17.86	14.3
25D1366	16.8	8.96
25D1367	17.33	12.07
25D1368	18.38	15.18
25D1369	17.51	10.29
25D137	17.86	6.29
25D1370	17.15	15.18
25D1371	16.8	12.96
25D1372	16.45	8.96
25D1373	16.8	12.96
25D1374	17.51	16.52
25D1375	17.15	8.07
25D1376	16.8	6.29
25D1377	18.03	16.96
25D1378	17.33	16.07
25D1379	17.33	21.85
25D138	17.68	9.85
25D1380	17.68	18.74
25D1381	17.15	7.63
25D1382	17.15	13.41
25D1383	17.33	11.63
25D1384	17.51	13.41
25D1385	17.68	13.41
25D1386	18.03	12.96
25D1387	18.03	18.3
25D1388	17.51	11.63
25D1389	18.38	15.63
25D139	17.68	8.07
25D1390	18.03	12.07
25D1391	18.21	12.52
25D1392	17.68	23.19
25D1393	17.15	10.29
25D1394	19.26	14.3
25D1395	17.86	16.96
25D1396	18.38	13.85
25D1397	17.51	14.3
25D1398	17.15	5.85
25D1399	16.98	9.4
25D140	18.91	3.62
25D1400	17.41	16.93
25D1401	17.15	16.52
25D1402	17.86	14.74
25D1403	17.68	14.3
25D1404	16.98	13.41
25D1405	17.68	14.3
25D1406	NA	NA
25D1407	17.86	11.18
25D1408	17.68	15.18
25D1409	16.63	11.18
25D141	19.44	9.4
25D1410	19.09	9.85
25D1411	18.21	10.29
25D1412	17.51	8.07
25D1413	17.33	7.63
25D1414	17.33	17.85
25D1415	16.28	5.4
25D1416	17.41	10.53
25D1417	16.98	14.3
25D1418	16.98	10.74
25D1419	18.56	7.63
25D142	18.03	9.85
25D1420	18.21	9.85
25D1421	16.63	8.52
25D1422	17.51	14.74
25D1423	16.45	15.63
25D1424	17.33	11.63
25D1425	17.86	8.07
25D1426	NA	NA
25D1427	17.15	14.3
25D1428	16.63	10.29
25D1429	19.09	7.63
25D143	18.73	8.96
25D1430	18.21	18.74
25D1431	16.8	15.18
25D1432	17.86	12.07
25D1433	17.33	11.63
25D1434	17.15	13.41
25D1435	18.03	12.52
25D1436	17.15	10.74
25D1437	16.8	12.07
25D1438	17.68	9.4
25D1439	17.86	16.07
25D144	17.51	4.07
25D1440	17.51	12.52
25D1441	17.15	12.96
25D1442	18.21	14.74
25D1443	16.98	10.74
25D1444	18.21	12.96
25D1445	17.2	7.32
25D1446	16.77	8.93
25D1447	16.63	12.96
25D1448	17.51	18.74
25D1449	17.15	16.07
25D145	17.51	5.4
25D1450	17.51	6.29
25D1451	16.8	4.96
25D1452	17.68	12.96
25D1453	17.68	17.41
25D1454	18.03	4.07
25D1455	17.86	8.52
25D1456	17.15	9.85
25D1457	17.51	12.52
25D1458	NA	NA
25D1459	17.51	14.3
25D146	17.68	7.18
25D1460	18.21	15.18
25D1461	18.56	19.19
25D1462	16.45	5.85
25D1463	17.68	11.63
25D1464	17.33	14.3
25D1465	17.68	17.41
25D1466	NA	NA
25D1467	16.98	11.63
25D1468	17.2	4.12
25D1469	17.15	8.52
25D147	17.86	5.85
25D1470	16.98	10.74
25D1471	18.21	14.3
25D1472	18.38	13.41
25D1473	17.51	6.74
25D1474	18.03	16.52
25D1475	NA	NA
25D1476	16.98	6.52
25D1477	17.15	9.85
25D1478	17.33	17.41
25D1479	17.68	12.07
25D148	18.03	6.74
25D1480	18.03	9.4
25D1481	17.86	18.74
25D1482	17.68	20.52
25D1483	16.8	10.74
25D1484	17.51	8.96
25D1485	18.03	7.63
25D1486	18.03	12.96
25D1487	18.03	12.52
25D1488	18.21	11.63
25D1489	17.86	10.74
25D149	17.33	6.29
25D1490	16.98	15.18
25D1491	17.51	10.29
25D1492	18.03	6.74
25D1493	17.51	10.74
25D1494	17.68	8.07
25D1495	18.03	17.85
25D1496	17.33	8.96
25D1497	16.98	9.73
25D1498	17.68	12.96
25D1499	17.62	12.93
25D150	18.21	9.85
25D1500	16.98	15.18
25D1501	17.68	14.74
25D1502	16.63	17.41
25D1503	17.51	12.07
25D1504	17.86	16.96
25D1505	18.03	11.63
25D1506	16.98	6.74
25D1507	18.21	13.85
25D1508	17.33	12.52
25D1509	17.86	18.74
25D151	18.21	11.18
25D1510	17.51	8.52
25D1511	17.68	17.85
25D1512	17.51	15.63
25D1513	18.21	13.85
